Datetime,Open,High,Low,Close,Volume
2019-03-01 09:15:00,2091.15,2100.65,2091.15,2097.0,163010
2019-03-01 09:30:00,2097.0,2098.45,2091.25,2093.7,93869
2019-03-01 09:45:00,2094.45,2094.75,2089.2,2090.05,107947
2019-03-01 10:00:00,2090.05,2094.05,2088.5,2090.5,97313
2019-03-01 10:15:00,2090.25,2091.6,2088.45,2090.15,125800
2019-03-01 10:30:00,2090.0,2090.05,2087.1,2089.85,52796
2019-03-01 10:45:00,2089.85,2090.0,2087.75,2089.05,50482
2019-03-01 11:00:00,2089.05,2092.3,2089.0,2091.9,66734
2019-03-01 11:15:00,2091.55,2095.7,2090.85,2095.05,55870
2019-03-01 11:30:00,2095.0,2095.8,2091.0,2091.3,34838
2019-03-01 11:45:00,2091.05,2097.35,2090.35,2095.95,67224
2019-03-01 12:00:00,2095.45,2096.35,2093.3,2095.4,48652
2019-03-01 12:15:00,2095.4,2096.8,2091.75,2092.05,85906
2019-03-01 12:30:00,2092.0,2092.95,2087.0,2087.95,42824
2019-03-01 12:45:00,2087.7,2088.0,2077.55,2077.65,62793
2019-03-01 13:00:00,2077.6,2081.0,2077.55,2078.45,57709
2019-03-01 13:15:00,2079.0,2081.1,2077.2,2079.8,55160
2019-03-01 13:30:00,2079.85,2080.95,2078.55,2079.6,53309
2019-03-01 13:45:00,2079.75,2083.75,2078.7,2082.35,214763
2019-03-01 14:00:00,2083.0,2085.7,2082.55,2084.0,160020
2019-03-01 14:15:00,2084.0,2085.95,2081.7,2082.9,96633
2019-03-01 14:30:00,2084.25,2088.65,2083.0,2087.05,114767
2019-03-01 14:45:00,2087.15,2088.0,2085.2,2085.9,135150
2019-03-01 15:00:00,2086.65,2089.05,2083.85,2084.5,1449108
2019-03-01 15:15:00,2085.05,2086.55,2079.55,2080.0,1391390
2019-03-01 15:30:00,2080.0,2080.0,2080.0,2080.0,19
2019-03-05 09:15:00,2085.7,2085.7,2073.85,2076.05,163010
2019-03-05 09:30:00,2076.05,2077.75,2075.0,2075.0,93869
2019-03-05 09:45:00,2075.0,2075.0,2072.7,2073.45,107947
2019-03-05 10:00:00,2073.45,2073.55,2070.0,2070.2,97313
2019-03-05 10:15:00,2070.2,2076.4,2070.1,2074.35,125800
2019-03-05 10:30:00,2074.25,2076.5,2073.55,2074.4,52796
2019-03-05 10:45:00,2075.0,2077.85,2073.0,2077.6,50482
2019-03-05 11:00:00,2077.1,2078.05,2072.65,2072.65,66734
2019-03-05 11:15:00,2072.65,2074.75,2071.15,2073.15,55870
2019-03-05 11:30:00,2073.15,2074.4,2071.5,2073.0,34838
2019-03-05 11:45:00,2073.1,2073.1,2070.0,2070.6,67224
2019-03-05 12:00:00,2070.6,2072.3,2070.1,2071.45,48652
2019-03-05 12:15:00,2071.4,2077.5,2070.0,2076.95,85906
2019-03-05 12:30:00,2077.0,2079.8,2075.05,2077.15,42824
2019-03-05 12:45:00,2077.2,2084.0,2076.0,2083.5,62793
2019-03-05 13:00:00,2083.5,2087.25,2078.9,2079.95,57709
2019-03-05 13:15:00,2079.9,2091.15,2079.7,2088.45,55160
2019-03-05 13:30:00,2089.2,2089.9,2086.1,2087.85,53309
2019-03-05 13:45:00,2087.8,2089.5,2083.15,2084.85,214763
2019-03-05 14:00:00,2084.85,2085.95,2082.05,2084.4,160020
2019-03-05 14:15:00,2084.65,2090.0,2084.05,2088.7,96633
2019-03-05 14:30:00,2088.7,2097.0,2087.65,2095.75,114767
2019-03-05 14:45:00,2095.75,2108.9,2095.1,2108.45,135150
2019-03-05 15:00:00,2108.45,2111.0,2105.0,2106.65,1449108
2019-03-05 15:15:00,2107.0,2108.65,2102.95,2107.0,1391390
2019-03-06 09:15:00,2110.0,2110.25,2094.95,2100.5,163010
2019-03-06 09:30:00,2100.5,2102.9,2096.0,2096.35,93869
2019-03-06 09:45:00,2096.0,2099.85,2094.0,2099.25,107947
2019-03-06 10:00:00,2099.35,2101.65,2097.5,2100.65,97313
2019-03-06 10:15:00,2100.65,2100.75,2090.95,2094.75,125800
2019-03-06 10:30:00,2094.75,2095.5,2093.05,2094.9,52796
2019-03-06 10:45:00,2094.9,2095.3,2093.0,2094.95,50482
2019-03-06 11:00:00,2094.95,2094.95,2091.0,2093.0,66734
2019-03-06 11:15:00,2093.0,2095.0,2091.35,2092.6,55870
2019-03-06 11:30:00,2092.9,2096.0,2090.95,2094.5,34838
2019-03-06 11:45:00,2094.45,2098.55,2092.0,2095.95,67224
2019-03-06 12:00:00,2096.1,2096.8,2091.3,2092.9,48652
2019-03-06 12:15:00,2093.0,2097.8,2092.6,2097.35,85906
2019-03-06 12:30:00,2097.0,2099.6,2096.65,2099.0,42824
2019-03-06 12:45:00,2099.0,2099.5,2093.1,2095.0,62793
2019-03-06 13:00:00,2095.05,2097.9,2092.45,2097.45,57709
2019-03-06 13:15:00,2097.45,2098.95,2095.05,2096.0,55160
2019-03-06 13:30:00,2096.0,2101.0,2094.1,2099.25,53309
2019-03-06 13:45:00,2099.25,2100.0,2092.55,2095.0,214763
2019-03-06 14:00:00,2094.95,2097.9,2094.0,2094.9,139121
2019-03-06 14:15:00,2095.45,2103.95,2095.0,2103.65,96633
2019-03-06 14:30:00,2103.4,2106.9,2094.35,2100.35,114767
2019-03-06 14:45:00,2100.6,2104.65,2100.05,2101.95,135150
2019-03-06 15:00:00,2101.8,2104.5,2100.7,2102.75,1449108
2019-03-06 15:15:00,2102.75,2108.0,2102.1,2103.0,1391390
2019-03-06 15:30:00,2103.15,2103.15,2103.15,2103.15,19
2019-03-07 09:15:00,2109.15,2109.15,2103.0,2104.35,163010
2019-03-07 09:30:00,2104.95,2107.95,2099.0,2100.45,93869
2019-03-07 09:45:00,2100.4,2101.25,2098.05,2098.3,107947
2019-03-07 10:00:00,2098.0,2098.5,2095.0,2096.2,97313
2019-03-07 10:15:00,2095.3,2100.25,2095.2,2100.15,125800
2019-03-07 10:30:00,2100.0,2100.7,2098.0,2098.2,52796
2019-03-07 10:45:00,2098.6,2099.05,2096.5,2097.85,50482
2019-03-07 11:00:00,2097.55,2100.95,2096.75,2100.35,66734
2019-03-07 11:15:00,2100.35,2101.05,2099.5,2099.65,55870
2019-03-07 11:30:00,2099.5,2100.25,2098.0,2099.2,34838
2019-03-07 11:45:00,2098.7,2100.0,2098.05,2099.2,67224
2019-03-07 12:00:00,2099.25,2099.45,2098.2,2099.05,48652
2019-03-07 12:15:00,2099.05,2099.55,2097.5,2098.9,85906
2019-03-07 12:30:00,2098.85,2100.8,2098.45,2098.55,42824
2019-03-07 12:45:00,2098.55,2099.15,2096.65,2099.05,62793
2019-03-07 13:00:00,2099.05,2100.0,2098.1,2100.0,57709
2019-03-07 13:15:00,2099.9,2100.85,2098.65,2100.0,55160
2019-03-07 13:30:00,2100.0,2114.0,2099.95,2113.95,53309
2019-03-07 13:45:00,2113.95,2115.9,2110.55,2115.2,214763
2019-03-07 14:00:00,2115.2,2122.0,2113.55,2121.85,160020
2019-03-07 14:15:00,2121.95,2123.0,2118.15,2122.3,96633
2019-03-07 14:30:00,2122.35,2129.45,2121.2,2127.0,114767
2019-03-07 14:45:00,2127.0,2130.0,2123.75,2127.95,135150
2019-03-07 15:00:00,2127.35,2129.9,2125.4,2128.5,1449108
2019-03-07 15:15:00,2128.6,2129.0,2123.0,2125.2,1391390
2019-03-07 15:30:00,2125.2,2125.2,2125.2,2125.2,19
2019-03-08 09:15:00,2115.1,2120.95,2111.05,2113.7,163010
2019-03-08 09:30:00,2113.6,2114.3,2110.15,2111.65,93869
2019-03-08 09:45:00,2111.65,2113.0,2110.0,2110.2,107947
2019-03-08 10:00:00,2110.25,2117.7,2109.45,2115.65,97313
2019-03-08 10:15:00,2116.0,2116.0,2111.1,2112.85,125800
2019-03-08 10:30:00,2112.85,2113.65,2111.4,2112.5,52796
2019-03-08 10:45:00,2112.8,2115.0,2112.0,2115.0,50482
2019-03-08 11:00:00,2115.0,2116.0,2111.65,2113.75,66734
2019-03-08 11:15:00,2113.7,2123.5,2113.5,2122.95,55870
2019-03-08 11:30:00,2123.0,2124.65,2120.0,2122.2,34838
2019-03-08 11:45:00,2122.2,2124.35,2121.0,2123.3,67224
2019-03-08 12:00:00,2123.5,2124.5,2119.1,2124.4,48652
2019-03-08 12:15:00,2124.3,2124.4,2121.05,2123.35,85906
2019-03-08 12:30:00,2123.35,2124.5,2115.6,2115.6,42824
2019-03-08 12:45:00,2115.6,2117.95,2113.55,2114.05,62793
2019-03-08 13:00:00,2114.05,2117.9,2113.25,2113.6,57709
2019-03-08 13:15:00,2113.6,2115.25,2111.0,2113.05,55160
2019-03-08 13:30:00,2113.0,2118.4,2112.85,2117.3,53309
2019-03-08 13:45:00,2117.2,2120.0,2115.4,2118.0,214763
2019-03-08 14:00:00,2118.5,2122.0,2117.5,2120.1,160020
2019-03-08 14:15:00,2120.0,2120.8,2117.0,2118.75,96633
2019-03-08 14:30:00,2118.15,2125.0,2118.1,2124.95,114767
2019-03-08 14:45:00,2125.0,2128.0,2124.05,2124.9,135150
2019-03-08 15:00:00,2125.85,2129.0,2124.9,2128.8,1449108
2019-03-08 15:15:00,2128.95,2130.0,2126.2,2129.9,1391390
2019-03-08 15:30:00,2129.0,2129.0,2129.0,2129.0,19
2019-03-11 09:15:00,2131.15,2142.0,2131.15,2139.95,163010
2019-03-11 09:30:00,2139.95,2140.95,2137.05,2137.25,93869
2019-03-11 09:45:00,2137.35,2141.0,2136.5,2139.0,107947
2019-03-11 10:00:00,2139.0,2143.7,2138.0,2138.0,97313
2019-03-11 10:15:00,2138.1,2139.75,2135.5,2138.65,125800
